donor_country,financial_year,total_fc_inr,total_fc_original,original_unit,source_document,source_url,table_ref,retrieved_date,notes
Russia,2016-17,8507202.77,"85,07,202.77",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Romania,2016-17,8499996.43,"84,99,996.43",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Barbados,2016-17,8373040.00,"83,73,040.00",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Netherlands Antilles,2016-17,7612149.00,"76,12,149.00",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Uganda,2016-17,6925788.56,"69,25,788.56",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Argentina,2016-17,6484714.00,"64,84,714.00",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Portugal,2016-17,6339298.89,"63,39,298.89",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Slovenia,2016-17,5604576.96,"56,04,576.96",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Trinidad and Tobago,2016-17,5173842.72,"51,73,842.72",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Botswana,2016-17,4374655.00,"43,74,655.00",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Zambia,2016-17,4116006.00,"41,16,006.00",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Hungary,2016-17,3626049.24,"36,26,049.24",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Pakistan,2016-17,3570380.91,"35,70,380.91",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Central African Republic,2016-17,3496210.86,"34,96,210.86",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Iran,2016-17,2886279.50,"28,86,279.50",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Vietnam,2016-17,2796120.30,"27,96,120.30",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Cambodia,2016-17,2576397.57,"25,76,397.57",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Mongolia,2016-17,2493617.00,"24,93,617.00",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Others (Tibet),2016-17,2315609.78,"23,15,609.78",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Croatia,2016-17,2126527.44,"21,26,527.44",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Ghana,2016-17,2113480.00,"21,13,480.00",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Guyana,2016-17,2023207.30,"20,23,207.30",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Jordan,2016-17,1893649.59,"18,93,649.59",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Peru,2016-17,1614521.90,"16,14,521.90",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Bosnia,2016-17,1443885.00,"14,43,885.00",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Mali,2016-17,1402450.00,"14,02,450.00",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Lebanon,2016-17,1139255.00,"11,39,255.00",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Tunisia,2016-17,1101093.00,"11,01,093.00",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Myanmar,2016-17,1038923.00,"10,38,923.00",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Malawi,2016-17,1022368.00,"10,22,368.00",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Dominica,2016-17,891994.61,"8,91,994.61",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Fiji,2016-17,866209.10,"8,66,209.10",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Sudan,2016-17,750072.00,"7,50,072.00",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Estonia,2016-17,716500.00,"7,16,500.00",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Maldives,2016-17,690483.00,"6,90,483.00",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Papua New Guinea,2016-17,678077.00,"6,78,077.00",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Congo,2016-17,627812.00,"6,27,812.00",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
New Caledonia,2016-17,605231.00,"6,05,231.00",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Ukraine,2016-17,521523.32,"5,21,523.32",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Liberia,2016-17,520520.00,"5,20,520.00",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Uruguay,2016-17,484392.00,"4,84,392.00",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Tajikistan,2016-17,409335.00,"4,09,335.00",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Mongolia (Peoples Rep),2016-17,368473.20,"3,68,473.20",rupee,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,"Annexure-II: Country of Donors Foreign Contribution (in Rupees), Year: 2016-17",2026-09-23,"Excludes donor details < Rs 20,000 per Form FC-4. Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
