state,financial_year,metric,total_fc_inr,total_fc_original,original_unit,reporting_associations,source_document,source_url,table_ref,retrieved_date,notes
Mizoram,2011-12,received,58645000.00,586.45,lakh,31,"Lok Sabha Unstarred Question No. 328, 'Funds to NGOs', answered 06.08.2013 (Ministry of Home Affairs, Shri Mullappally Ramachandran)",https://xn--i1b5bzbybhfo5c8b4bxh.xn--11b7cb3a6a.xn--h2brj9c/MHA1/Par2017/pdfs/par2013-pdfs/ls-060813/328.pdf,Annexure-III: Statewise FC received during 2011-12,2026-09-23,"2011-12 data flagged in source as 'some more data is still under compilation'. State-wise FC received, Rs in Lakhs. 2011-12 flagged in the document itself as 'some more data is still under compilation'. Source-arithmetic note: the document's stated totals differ from the sum of its state rows by 0.01 lakh (Rs 1,000) in 2009-10 and 2010-11 -- a rounding artifact in the source. In 2011-12 the stated total exceeds the sum of included state rows by Rs 489.15 lakh, which per the document's own arithmetic is the excluded Andaman & Nicobar row."
Sikkim,2011-12,received,50181000.00,501.81,lakh,14,"Lok Sabha Unstarred Question No. 328, 'Funds to NGOs', answered 06.08.2013 (Ministry of Home Affairs, Shri Mullappally Ramachandran)",https://xn--i1b5bzbybhfo5c8b4bxh.xn--11b7cb3a6a.xn--h2brj9c/MHA1/Par2017/pdfs/par2013-pdfs/ls-060813/328.pdf,Annexure-III: Statewise FC received during 2011-12,2026-09-23,"2011-12 data flagged in source as 'some more data is still under compilation'. State-wise FC received, Rs in Lakhs. 2011-12 flagged in the document itself as 'some more data is still under compilation'. Source-arithmetic note: the document's stated totals differ from the sum of its state rows by 0.01 lakh (Rs 1,000) in 2009-10 and 2010-11 -- a rounding artifact in the source. In 2011-12 the stated total exceeds the sum of included state rows by Rs 489.15 lakh, which per the document's own arithmetic is the excluded Andaman & Nicobar row."
Dadra & Nagar Haveli,2011-12,received,9902000.00,99.02,lakh,7,"Lok Sabha Unstarred Question No. 328, 'Funds to NGOs', answered 06.08.2013 (Ministry of Home Affairs, Shri Mullappally Ramachandran)",https://xn--i1b5bzbybhfo5c8b4bxh.xn--11b7cb3a6a.xn--h2brj9c/MHA1/Par2017/pdfs/par2013-pdfs/ls-060813/328.pdf,Annexure-III: Statewise FC received during 2011-12,2026-09-23,"2011-12 data flagged in source as 'some more data is still under compilation'. State-wise FC received, Rs in Lakhs. 2011-12 flagged in the document itself as 'some more data is still under compilation'. Source-arithmetic note: the document's stated totals differ from the sum of its state rows by 0.01 lakh (Rs 1,000) in 2009-10 and 2010-11 -- a rounding artifact in the source. In 2011-12 the stated total exceeds the sum of included state rows by Rs 489.15 lakh, which per the document's own arithmetic is the excluded Andaman & Nicobar row."
Daman and Diu,2011-12,received,110000.00,1.10,lakh,1,"Lok Sabha Unstarred Question No. 328, 'Funds to NGOs', answered 06.08.2013 (Ministry of Home Affairs, Shri Mullappally Ramachandran)",https://xn--i1b5bzbybhfo5c8b4bxh.xn--11b7cb3a6a.xn--h2brj9c/MHA1/Par2017/pdfs/par2013-pdfs/ls-060813/328.pdf,Annexure-III: Statewise FC received during 2011-12,2026-09-23,"2011-12 data flagged in source as 'some more data is still under compilation'. State-wise FC received, Rs in Lakhs. 2011-12 flagged in the document itself as 'some more data is still under compilation'. Source-arithmetic note: the document's stated totals differ from the sum of its state rows by 0.01 lakh (Rs 1,000) in 2009-10 and 2010-11 -- a rounding artifact in the source. In 2011-12 the stated total exceeds the sum of included state rows by Rs 489.15 lakh, which per the document's own arithmetic is the excluded Andaman & Nicobar row."
ALL-INDIA,2011-12,received,105819561000.00,1058195.61,lakh,21804,"Lok Sabha Unstarred Question No. 328, 'Funds to NGOs', answered 06.08.2013 (Ministry of Home Affairs, Shri Mullappally Ramachandran)",https://xn--i1b5bzbybhfo5c8b4bxh.xn--11b7cb3a6a.xn--h2brj9c/MHA1/Par2017/pdfs/par2013-pdfs/ls-060813/328.pdf,Answer table: Year / No. of NGOs / Total amount of foreign contribution received (Rs in Lakhs),2026-09-23,"2011-12 total is provisional per source; stated total includes the excluded Andaman & Nicobar row (implied Rs 489.15 lakh by the document's own arithmetic). State-wise FC received, Rs in Lakhs. 2011-12 flagged in the document itself as 'some more data is still under compilation'. Source-arithmetic note: the document's stated totals differ from the sum of its state rows by 0.01 lakh (Rs 1,000) in 2009-10 and 2010-11 -- a rounding artifact in the source. In 2011-12 the stated total exceeds the sum of included state rows by Rs 489.15 lakh, which per the document's own arithmetic is the excluded Andaman & Nicobar row."
Delhi,2016-17,received,36079192896.65,"36,07,91,92,896.65",rupee,,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,Annexure-I: Statement of State/UT-wise receipt of foreign contribution (in Rupees) during 2016-17,2026-09-23,"Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Tamil Nadu,2016-17,received,20037426745.64,"20,03,74,26,745.64",rupee,,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,Annexure-I: Statement of State/UT-wise receipt of foreign contribution (in Rupees) during 2016-17,2026-09-23,"Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Karnataka,2016-17,received,17960950582.05,"17,96,09,50,582.05",rupee,,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,Annexure-I: Statement of State/UT-wise receipt of foreign contribution (in Rupees) during 2016-17,2026-09-23,"Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Maharashtra,2016-17,received,17213277651.57,"17,21,32,77,651.57",rupee,,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,Annexure-I: Statement of State/UT-wise receipt of foreign contribution (in Rupees) during 2016-17,2026-09-23,"Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Andhra Pradesh,2016-17,received,9115125022.64,"9,11,51,25,022.64",rupee,,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,Annexure-I: Statement of State/UT-wise receipt of foreign contribution (in Rupees) during 2016-17,2026-09-23,"Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Kerala,2016-17,received,8232284544.58,"8,23,22,84,544.58",rupee,,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,Annexure-I: Statement of State/UT-wise receipt of foreign contribution (in Rupees) during 2016-17,2026-09-23,"Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
West Bengal,2016-17,received,7292881157.02,"7,29,28,81,157.02",rupee,,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,Annexure-I: Statement of State/UT-wise receipt of foreign contribution (in Rupees) during 2016-17,2026-09-23,"Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Telangana,2016-17,received,7170701723.59,"7,17,07,01,723.59",rupee,,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,Annexure-I: Statement of State/UT-wise receipt of foreign contribution (in Rupees) during 2016-17,2026-09-23,"Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Gujarat,2016-17,received,5580627582.75,"5,58,06,27,582.75",rupee,,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,Annexure-I: Statement of State/UT-wise receipt of foreign contribution (in Rupees) during 2016-17,2026-09-23,"Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Rajasthan,2016-17,received,3739805209.86,"3,73,98,05,209.86",rupee,,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,Annexure-I: Statement of State/UT-wise receipt of foreign contribution (in Rupees) during 2016-17,2026-09-23,"Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Uttar Pradesh,2016-17,received,3472148231.14,"3,47,21,48,231.14",rupee,,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,Annexure-I: Statement of State/UT-wise receipt of foreign contribution (in Rupees) during 2016-17,2026-09-23,"Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Madhya Pradesh,2016-17,received,2306153149.38,"2,30,61,53,149.38",rupee,,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,Annexure-I: Statement of State/UT-wise receipt of foreign contribution (in Rupees) during 2016-17,2026-09-23,"Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Orissa,2016-17,received,2158747671.90,"2,15,87,47,671.90",rupee,,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,Annexure-I: Statement of State/UT-wise receipt of foreign contribution (in Rupees) during 2016-17,2026-09-23,"Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Bihar,2016-17,received,1824740982.52,"1,82,47,40,982.52",rupee,,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,Annexure-I: Statement of State/UT-wise receipt of foreign contribution (in Rupees) during 2016-17,2026-09-23,"Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Himachal Pradesh,2016-17,received,1568912221.96,"1,56,89,12,221.96",rupee,,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,Annexure-I: Statement of State/UT-wise receipt of foreign contribution (in Rupees) during 2016-17,2026-09-23,"Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Punjab,2016-17,received,1412858268.25,"1,41,28,58,268.25",rupee,,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,Annexure-I: Statement of State/UT-wise receipt of foreign contribution (in Rupees) during 2016-17,2026-09-23,"Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Uttarakhand,2016-17,received,1350465899.78,"1,35,04,65,899.78",rupee,,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,Annexure-I: Statement of State/UT-wise receipt of foreign contribution (in Rupees) during 2016-17,2026-09-23,"Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Jharkhand,2016-17,received,1194768042.30,"1,19,47,68,042.30",rupee,,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,Annexure-I: Statement of State/UT-wise receipt of foreign contribution (in Rupees) during 2016-17,2026-09-23,"Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Assam,2016-17,received,1190962871.15,"1,19,09,62,871.15",rupee,,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,Annexure-I: Statement of State/UT-wise receipt of foreign contribution (in Rupees) during 2016-17,2026-09-23,"Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Haryana,2016-17,received,840492621.46,"84,04,92,621.46",rupee,,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,Annexure-I: Statement of State/UT-wise receipt of foreign contribution (in Rupees) during 2016-17,2026-09-23,"Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Meghalaya,2016-17,received,627027727.53,"62,70,27,727.53",rupee,,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,Annexure-I: Statement of State/UT-wise receipt of foreign contribution (in Rupees) during 2016-17,2026-09-23,"Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Chhattisgarh,2016-17,received,548021347.65,"54,80,21,347.65",rupee,,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,Annexure-I: Statement of State/UT-wise receipt of foreign contribution (in Rupees) during 2016-17,2026-09-23,"Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Jammu and Kashmir,2016-17,received,439860088.17,"43,98,60,088.17",rupee,,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,Annexure-I: Statement of State/UT-wise receipt of foreign contribution (in Rupees) during 2016-17,2026-09-23,"Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Manipur,2016-17,received,388378093.58,"38,83,78,093.58",rupee,,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,Annexure-I: Statement of State/UT-wise receipt of foreign contribution (in Rupees) during 2016-17,2026-09-23,"Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Nagaland,2016-17,received,341906272.60,"34,19,06,272.60",rupee,,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,Annexure-I: Statement of State/UT-wise receipt of foreign contribution (in Rupees) during 2016-17,2026-09-23,"Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Pondicherry,2016-17,received,340946964.88,"34,09,46,964.88",rupee,,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,Annexure-I: Statement of State/UT-wise receipt of foreign contribution (in Rupees) during 2016-17,2026-09-23,"Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Goa,2016-17,received,332909461.03,"33,29,09,461.03",rupee,,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,Annexure-I: Statement of State/UT-wise receipt of foreign contribution (in Rupees) during 2016-17,2026-09-23,"Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Chandigarh,2016-17,received,236982483.44,"23,69,82,483.44",rupee,,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,Annexure-I: Statement of State/UT-wise receipt of foreign contribution (in Rupees) during 2016-17,2026-09-23,"Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Mizoram,2016-17,received,204739815.87,"20,47,39,815.87",rupee,,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,Annexure-I: Statement of State/UT-wise receipt of foreign contribution (in Rupees) during 2016-17,2026-09-23,"Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Arunachal Pradesh,2016-17,received,110482066.66,"11,04,82,066.66",rupee,,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,Annexure-I: Statement of State/UT-wise receipt of foreign contribution (in Rupees) during 2016-17,2026-09-23,"Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Tripura,2016-17,received,108181328.11,"10,81,81,328.11",rupee,,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,Annexure-I: Statement of State/UT-wise receipt of foreign contribution (in Rupees) during 2016-17,2026-09-23,"Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Sikkim,2016-17,received,92342844.53,"9,23,42,844.53",rupee,,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,Annexure-I: Statement of State/UT-wise receipt of foreign contribution (in Rupees) during 2016-17,2026-09-23,"Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Andaman and Nicobar Islands,2016-17,received,30252021.04,"3,02,52,021.04",rupee,,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,Annexure-I: Statement of State/UT-wise receipt of foreign contribution (in Rupees) during 2016-17,2026-09-23,"Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Dadra and Nagar Haveli,2016-17,received,7188271.00,"71,88,271.00",rupee,,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,Annexure-I: Statement of State/UT-wise receipt of foreign contribution (in Rupees) during 2016-17,2026-09-23,"Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
ALL-INDIA,2016-17,received,153551741862.28,"1,53,55,17,41,862.28",rupee,,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,Annexure-I total row,2026-09-23,"Document states 18304 NGOs reported FC receipts in 2016-17; 2019-20 provisional (ARs as on 16.03.2021). Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Delhi,2017-18,received,44628076025.48,"44,62,80,76,025.48",rupee,,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,Annexure-I: Statement of State/UT-wise receipt of foreign contribution (in Rupees) during 2017-18,2026-09-23,"Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
Tamil Nadu,2017-18,received,21361812732.39,"21,36,18,12,732.39",rupee,,"Rajya Sabha Starred Question No. 304, 'Foreign Funds Received by NGOs', answered 24.03.2021 (MoS Home, Shri Nityanand Rai)",https://www.scribd.com/document/500156210/Foreign-Contribution-List-MHA,Annexure-I: Statement of State/UT-wise receipt of foreign contribution (in Rupees) during 2017-18,2026-09-23,"Scribd copy of the official annexure. Annexure-I: state-wise FC received in Rupees. Annexure-II: donor-country-wise FC in Rupees (excludes donor details < Rs 20,000 per FC-4). 2019-20 tables are PARTIAL: ARs filed as on 16.03.2021; filing deadline extended to 30.06.2021."
